subject,stimulus,response,reactionTime
BASSMANN_62_0_0_0,"181,plop,221",1,3.3404589895159E+016
BASSMANN_62_0_0_0,"186,plop,176",2,4499295024224560
BASSMANN_62_0_0_0,"171,plop,216",1,4072732932656070
BASSMANN_62_0_0_0,"206,plop,176",2,4633303891425020
BASSMANN_62_0_0_0,"196,plop,201",1,4793692915374410
BASSMANN_62_0_0_0,"191,plop,171",2,37842789928196
BASSMANN_62_0_0_0,"181,plop,211",1,405879402779974
BASSMANN_62_0_0_0,"171,plop,186",1,3894546910794450
BASSMANN_62_0_0_0,"171,plop,206",1,358277106822934
BASSMANN_62_0_0_0,"181,plop,201",1,3.71808991001453E+016
BASSMANN_62_0_0_0,"216,plop,176",2,3718933896534140
BASSMANN_62_0_0_0,"171,plop,176",2,4155047990987080
BASSMANN_62_0_0_0,"191,plop,166",2,3.30823900215328E+016
BASSMANN_62_0_0_0,"201,plop,211",1,3.89243592359126E+016
BASSMANN_62_0_0_0,"206,plop,196",2,3.43256303914823E+016
BASSMANN_62_0_0_0,"176,plop,201",1,3511946115666070
BASSMANN_62_0_0_0,"186,plop,196",1,4082822057441810
BASSMANN_62_0_0_0,"206,plop,216",1,3.79375404133461E+016
BASSMANN_62_0_0_0,"166,plop,176",1,3.76646008356474E+016
BASSMANN_62_0_0_0,"191,plop,206",1,4392411046335470
BASSMANN_62_0_0_0,"211,plop,166",2,4048832957423290
BASSMANN_62_0_0_0,"201,plop,171",2,3932804968697020
BASSMANN_62_0_0_0,"186,plop,181",1,4882021050457840
BASSMANN_62_0_0_0,"216,plop,201",2,3643197004706600
BASSMANN_62_0_0_0,"166,plop,196",1,3533795088203620
BASSMANN_62_0_0_0,"196,plop,211",1,4.14959511291236E+016
BASSMANN_62_0_0_0,"196,plop,221",1,3522937995288520
BASSMANN_62_0_0_0,"176,plop,211",1,3.69223088680301E+016
BASSMANN_62_0_0_0,"221,plop,186",2,3.68195209002588E+016
BASSMANN_62_0_0_0,"196,plop,176",2,3.49855199505109E+016
BASSMANN_62_0_0_0,"176,plop,221",1,3571458054147660
BASSMANN_62_0_0_0,"181,plop,171",2,4344678095914420
BASSMANN_62_0_0_0,"176,plop,181",1,3860277077788490
BASSMANN_62_0_0_0,"201,plop,186",2,3697918045008560
BASSMANN_62_0_0_0,"211,plop,191",2,3451458011311480
BASSMANN_62_0_0_0,"221,plop,206",1,5153193938685580
BASSMANN_62_0_0_0,"216,plop,181",2,3488872892712240
BASSMANN_62_0_0_0,"211,plop,171",2,3.55294004585594E+016
BASSMANN_62_0_0_0,"191,plop,186",1,4198298058728690
BASSMANN_62_0_0_0,"166,plop,216",1,3.65758698587306E+016
BASSMANN_62_0_0_0,"216,plop,161",2,3.64308907757513E+016
BASSMANN_62_0_0_0,"206,plop,161",2,3.33801306076348E+016
BASSMANN_62_0_0_0,"201,plop,191",2,3.76614803159609E+016
BASSMANN_62_0_0_0,"186,plop,216",1,357009208437521
BASSMANN_62_0_0_0,"191,plop,216",1,3486223026085640
BASSMANN_62_0_0_0,"161,plop,201",1,3250263948366050
BASSMANN_62_0_0_0,"161,plop,221",1,3.15252492357977E+016
BASSMANN_62_0_0_0,"211,plop,206",1,6479969118512240
BASSMANN_62_0_0_0,"216,plop,221",1,4158904998586510
BASSMANN_62_0_0_0,"181,plop,166",2,4038862112234350
BASSMANN_62_0_0_0,"181,plop,191",1,3619369019079020
BASSMANN_62_0_0_0,"161,plop,191",1,362493189368397
BASSMANN_62_0_0_0,"171,plop,166",1,5278571986034510
BASSMANN_62_0_0_0,"171,plop,196",1,4070716046518650
BASSMANN_62_0_0_0,"196,plop,161",2,3.49677104691509E+016
BASSMANN_62_0_0_0,"206,plop,201",1,4500431092828510
BASSMANN_62_0_0_0,"201,plop,166",2,3572355943406000
BASSMANN_62_0_0_0,"216,plop,196",1,5463556100870480
BASSMANN_62_0_0_0,"161,plop,171",1,5538856954220680
BASSMANN_62_0_0_0,"191,plop,196",1,5085028028255330
BASSMANN_62_0_0_0,"176,plop,191",1,4250483999750580
Eli_28_1_1_0,"201,plop,186",2,5531080500013190
Eli_28_1_1_0,"201,plop,211",1,5347496000025420
Eli_28_1_1_0,"191,plop,171",2,5656348699959930
Eli_28_1_1_0,"221,plop,206",2,4833937799930570
Eli_28_1_1_0,"161,plop,221",1,5456987499981190
Eli_28_1_1_0,"206,plop,181",2,4.460418700031E+016
Eli_28_1_1_0,"166,plop,216",1,4651483900053430
Eli_28_1_1_0,"196,plop,176",2,4870427800016480
Eli_28_1_1_0,"191,plop,206",1,4562570699979550
Eli_28_1_1_0,"171,plop,196",1,4034736400027760
Eli_28_1_1_0,"191,plop,166",2,4563009300059640
Eli_28_1_1_0,"171,plop,166",2,5017696099961180
Eli_28_1_1_0,"191,plop,196",1,4.84054829997476E+016
Eli_28_1_1_0,"176,plop,161",2,5134521299996410
Eli_28_1_1_0,"216,plop,161",2,4217969000013550
Eli_28_1_1_0,"196,plop,181",2,4270468800002710
Eli_28_1_1_0,"206,plop,216",1,5265503800031730
Eli_28_1_1_0,"211,plop,206",2,519304940002039
Eli_28_1_1_0,"176,plop,201",1,4759674299997280
Eli_28_1_1_0,"201,plop,171",2,4444852900016120
Eli_28_1_1_0,"221,plop,191",2,412996760001406
Eli_28_1_1_0,"191,plop,186",1,5.1337779999245E+016
Eli_28_1_1_0,"196,plop,221",1,42096697000321
Eli_28_1_1_0,"211,plop,186",2,4694075900036840
Eli_28_1_1_0,"186,plop,206",1,4988336300035010
Eli_28_1_1_0,"201,plop,221",1,4.95104149999097E+016
Eli_28_1_1_0,"216,plop,201",2,4188012599968350
Eli_28_1_1_0,"186,plop,216",1,4.09410100001842E+016
Eli_28_1_1_0,"171,plop,176",1,4188012399966830
Eli_28_1_1_0,"216,plop,196",2,5067882499913680
Eli_28_1_1_0,"181,plop,191",2,4208861400047320
Eli_28_1_1_0,"166,plop,161",2,4782323000044560
Eli_28_1_1_0,"211,plop,166",2,397375210004393
Eli_28_1_1_0,"161,plop,181",1,4.8397142999107E+016
Eli_28_1_1_0,"176,plop,221",1,4.79724120001774E+016
Eli_28_1_1_0,"161,plop,201",1,4730498999962580
Eli_28_1_1_0,"206,plop,196",2,4495290200016460
Eli_28_1_1_0,"201,plop,166",2,4130269299983050
Eli_28_1_1_0,"171,plop,186",1,4304382400028410
Eli_28_1_1_0,"166,plop,206",1,5081379900011230
Eli_28_1_1_0,"186,plop,196",1,5426378100086000
Eli_28_1_1_0,"181,plop,201",1,4165051699988540
Eli_28_1_1_0,"211,plop,216",1,4036464000027630
Eli_28_1_1_0,"181,plop,166",2,4552815599972380
Eli_28_1_1_0,"166,plop,176",1,5726199300051670
Eli_28_1_1_0,"176,plop,211",1,5235501399985510
Eli_28_1_1_0,"186,plop,176",1,5.32437880001962E+016
Eli_28_1_1_0,"166,plop,196",1,4788897099928000
Eli_28_1_1_0,"186,plop,181",2,558691229999531
Eli_28_1_1_0,"221,plop,171",2,4436878199945200
Eli_28_1_1_0,"196,plop,161",2,4422419599979180
Eli_28_1_1_0,"186,plop,161",2,5265278099942950
Eli_28_1_1_0,"176,plop,181",1,5601736799953510
Eli_28_1_1_0,"206,plop,161",2,5880502000008710
Eli_28_1_1_0,"221,plop,186",2,4327848700014870
Eli_28_1_1_0,"171,plop,216",1,4318290999997410
Eli_28_1_1_0,"196,plop,211",1,4.23912329997402E+016
Eli_28_1_1_0,"211,plop,191",2,4239250100008210
Eli_28_1_1_0,"161,plop,211",1,4318550099991260
Eli_28_1_1_0,"191,plop,216",1,4326757600088600
Eli_28_1_1_0,"206,plop,201",2,4656290699983950
Eli_28_1_1_0,"216,plop,176",2,3.96663930001669E+016
Eli_28_1_1_0,"221,plop,166",2,3957548899948600
Eli_28_1_1_0,"211,plop,171",2,3896197699964980
Eli_28_1_1_0,"161,plop,191",1,4716355999954980
Eli_28_1_1_0,"221,plop,211",1,4319272199901750
Eli_28_1_1_0,"196,plop,201",1,4656497499928810
Eli_28_1_1_0,"181,plop,171",2,4883720699953850
Eli_28_1_1_0,"206,plop,176",2,3.97579760001972E+016
Eli_28_1_1_0,"216,plop,181",2,3.79252529996447E+016
Eli_28_1_1_0,"181,plop,211",1,4449062000052070
Eli_28_1_1_0,"161,plop,171",1,4663983600004580
Eli_28_1_1_0,"171,plop,206",1,3953690900024960
Eli_28_1_1_0,"181,plop,221",1,4.04192009989638E+016
Eli_28_1_1_0,"201,plop,191",2,4273771600006150
Eli_28_1_1_0,"176,plop,191",1,5382906400039790
Eli_28_1_1_0,"216,plop,221",1,4333051699935460
Eli_28_1_1_0,"166,plop,186",1,4597491999994960
JG_37_1_0_0,"196,plop,176",1,1746785091700020
JG_37_1_0_0,"181,plop,201",1,2617062311700000
JG_37_1_0_0,"196,plop,161",2,5903850086000010
